[2022-11-01 13:12:36,754][lightning][INFO] - successful load initial weights
[2022-11-01 13:12:38,691][lightning][INFO] - reference : джой хватит
[2022-11-01 13:12:38,692][lightning][INFO] - prediction: а
[2022-11-01 13:12:38,771][lightning][INFO] - reference : джой надоел
[2022-11-01 13:12:38,771][lightning][INFO] - prediction:  
[2022-11-01 13:12:43,981][lightning][INFO] - reference : афина организуй мне запись к моему парикмахеру на этой неделе
[2022-11-01 13:12:43,981][lightning][INFO] - prediction: маои ен окотаяьолл ьадлть др 
[2022-11-01 13:12:46,447][lightning][INFO] - reference : джой скажи а у тебя есть девушка
[2022-11-01 13:12:46,448][lightning][INFO] - prediction: счас
[2022-11-01 13:12:48,099][lightning][INFO] - reference : джой почему у некоторых людей нормальная улыбка а у некоторых очень сильно видны верхние десны
[2022-11-01 13:12:48,099][lightning][INFO] - prediction: ааки акекакакатиаа кеакеетекакаеа
[2022-11-01 13:12:50,237][lightning][INFO] - reference : сбер здравствуйте сегодня работает банк на гамзатова шестьдесят четыре
[2022-11-01 13:12:50,237][lightning][INFO] - prediction: сбтеттеататоненаинет
[2022-11-01 13:12:52,271][lightning][INFO] - reference : афина отключить таймер
[2022-11-01 13:12:52,272][lightning][INFO] - prediction: и
[2022-11-01 13:12:54,681][lightning][INFO] - reference : джой хватит
[2022-11-01 13:12:54,682][lightning][INFO] - prediction: дс
[2022-11-01 13:12:54,762][lightning][INFO] - reference : джой надоел
[2022-11-01 13:12:54,762][lightning][INFO] - prediction: джека
