[2022-11-01 12:55:07,354][lightning][INFO] - successful load initial weights
[2022-11-01 12:55:09,326][lightning][INFO] - reference : джой хватит
[2022-11-01 12:55:09,327][lightning][INFO] - prediction: 
[2022-11-01 12:55:09,411][lightning][INFO] - reference : джой надоел
[2022-11-01 12:55:09,411][lightning][INFO] - prediction: 
[2022-11-01 12:55:15,189][lightning][INFO] - reference : афина организуй мне запись к моему парикмахеру на этой неделе
[2022-11-01 12:55:15,189][lightning][INFO] - prediction: сенае атет сепфркаи кикдор ныпноубо оролллан
[2022-11-01 12:55:17,573][lightning][INFO] - reference : джой скажи а у тебя есть девушка
[2022-11-01 12:55:17,574][lightning][INFO] - prediction: пасапа
[2022-11-01 12:55:19,274][lightning][INFO] - reference : джой почему у некоторых людей нормальная улыбка а у некоторых очень сильно видны верхние десны
[2022-11-01 12:55:19,274][lightning][INFO] - prediction: лтиитллелатнтае
[2022-11-01 12:55:21,510][lightning][INFO] - reference : сбер здравствуйте сегодня работает банк на гамзатова шестьдесят четыре
[2022-11-01 12:55:21,510][lightning][INFO] - prediction: аотаоототаонкотаоа е
[2022-11-01 12:55:23,399][lightning][INFO] - reference : афина отключить таймер
[2022-11-01 12:55:23,400][lightning][INFO] - prediction: с
[2022-11-01 12:55:25,311][lightning][INFO] - reference : афина когда перестал существовать саманиды
[2022-11-01 12:55:25,311][lightning][INFO] - prediction: рлиаота
[2022-11-01 12:55:27,835][lightning][INFO] - reference : афина из за чего муха не падает со стены
[2022-11-01 12:55:27,835][lightning][INFO] - prediction: беотнвавени паино
[2022-11-01 12:55:29,963][lightning][INFO] - reference : сбер здравствуйте как подключить услугу бонусы спасибо
[2022-11-01 12:55:29,963][lightning][INFO] - prediction: серр каикаерееетаеонекаа
[2022-11-01 12:55:32,142][lightning][INFO] - reference : афина поставь будильник на восемь утра
[2022-11-01 12:55:32,143][lightning][INFO] - prediction: сбар аканедеекоеа
[2022-11-01 12:55:34,032][lightning][INFO] - reference : сбер выведи мне адреса банкоматов сбербанка
[2022-11-01 12:55:34,033][lightning][INFO] - prediction: дбеф ие тиенистани канана тоако
[2022-11-01 12:55:35,696][lightning][INFO] - reference : афина чем занимается роснанотех
[2022-11-01 12:55:35,696][lightning][INFO] - prediction: финасинтмааааонаи
[2022-11-01 12:55:37,599][lightning][INFO] - reference : джой какие болонки ты знаешь
[2022-11-01 12:55:37,599][lightning][INFO] - prediction: джо кочиоородеднарес
[2022-11-01 12:55:39,365][lightning][INFO] - reference : джой включи корнилич
[2022-11-01 12:55:39,365][lightning][INFO] - prediction: со скиавере
[2022-11-01 12:55:41,509][lightning][INFO] - reference : салют сводный отчет по картам
[2022-11-01 12:55:41,510][lightning][INFO] - prediction: салют иаиаапокане
[2022-11-01 12:55:43,268][lightning][INFO] - reference : сбер ужасы стивена спилберга
[2022-11-01 12:55:43,268][lightning][INFO] - prediction: ср красесстенеими
[2022-11-01 12:55:45,447][lightning][INFO] - reference : сбер сделай пополнение телефона на двести рублей
[2022-11-01 12:55:45,448][lightning][INFO] - prediction: се сеир ппоненезе понатесе е
[2022-11-01 12:55:47,578][lightning][INFO] - reference : афина а есть информация по погоде в городе мышкин
[2022-11-01 12:55:47,578][lightning][INFO] - prediction: афина кодисиканатокобаотаоичети
[2022-11-01 12:55:49,487][lightning][INFO] - reference : яркость освещения на веранде нужно увеличить на двадцать пять процентов
