[2022-11-01 10:58:25,829][lightning][INFO] - successful load initial weights
[2022-11-01 10:58:32,405][lightning][INFO] - reference : джой хватит
[2022-11-01 10:58:32,406][lightning][INFO] - prediction:  вст
[2022-11-01 10:58:32,472][lightning][INFO] - reference : джой надоел
[2022-11-01 10:58:32,472][lightning][INFO] - prediction: 
[2022-11-01 10:58:36,883][lightning][INFO] - reference : афина организуй мне запись к моему парикмахеру на этой неделе
[2022-11-01 10:58:36,883][lightning][INFO] - prediction: ода тлертткие ебнеоь ллреиисна
[2022-11-01 10:58:38,698][lightning][INFO] - reference : джой скажи а у тебя есть девушка
[2022-11-01 10:58:38,698][lightning][INFO] - prediction: оур
[2022-11-01 10:58:40,009][lightning][INFO] - reference : джой почему у некоторых людей нормальная улыбка а у некоторых очень сильно видны верхние десны
[2022-11-01 10:58:40,009][lightning][INFO] - prediction: снетаанкаааетатадеанаеа
[2022-11-01 10:58:41,683][lightning][INFO] - reference : сбер здравствуйте сегодня работает банк на гамзатова шестьдесят четыре
[2022-11-01 10:58:41,683][lightning][INFO] - prediction: сбакоототооко тоонопкоокотентоне
[2022-11-01 10:58:43,200][lightning][INFO] - reference : афина отключить таймер
[2022-11-01 10:58:43,200][lightning][INFO] - prediction: сафина кати тан
[2022-11-01 10:58:44,722][lightning][INFO] - reference : афина когда перестал существовать саманиды
[2022-11-01 10:58:44,722][lightning][INFO] - prediction: фи окедикопапаамаека
[2022-11-01 10:58:46,505][lightning][INFO] - reference : афина из за чего муха не падает со стены
[2022-11-01 10:58:46,505][lightning][INFO] - prediction: афиадчиао коаесстн
[2022-11-01 10:58:48,189][lightning][INFO] - reference : сбер здравствуйте как подключить услугу бонусы спасибо
[2022-11-01 10:58:48,189][lightning][INFO] - prediction: бер косиококиспосалссаосба
[2022-11-01 10:58:49,661][lightning][INFO] - reference : афина поставь будильник на восемь утра
[2022-11-01 10:58:49,661][lightning][INFO] - prediction: афина кассабудееномосента
[2022-11-01 10:58:51,199][lightning][INFO] - reference : сбер выведи мне адреса банкоматов сбербанка
[2022-11-01 10:58:51,199][lightning][INFO] - prediction: сбер оритимидыссато коматутдыбата
[2022-11-01 10:58:52,474][lightning][INFO] - reference : афина чем занимается роснанотех
[2022-11-01 10:58:52,474][lightning][INFO] - prediction: афина чензнмаанаснонаи
[2022-11-01 10:58:53,906][lightning][INFO] - reference : джой какие болонки ты знаешь
[2022-11-01 10:58:53,906][lightning][INFO] - prediction: джой каи маготетознаес
[2022-11-01 10:58:55,391][lightning][INFO] - reference : джой включи корнилич
[2022-11-01 10:58:55,391][lightning][INFO] - prediction: джой всключикорнилич
[2022-11-01 10:58:56,958][lightning][INFO] - reference : салют сводный отчет по картам
[2022-11-01 10:58:56,958][lightning][INFO] - prediction: салют смонекадат покан
[2022-11-01 10:58:58,360][lightning][INFO] - reference : сбер ужасы стивена спилберга
[2022-11-01 10:58:58,360][lightning][INFO] - prediction: сб увоссистностинне
[2022-11-01 10:58:59,954][lightning][INFO] - reference : сбер сделай пополнение телефона на двести рублей
[2022-11-01 10:58:59,954][lightning][INFO] - prediction: сбер сдена побаненитепонаистерпе
[2022-11-01 10:59:01,736][lightning][INFO] - reference : афина а есть информация по погоде в городе мышкин
[2022-11-01 10:59:01,737][lightning][INFO] - prediction: афина каитижанацокбободо гозинучфе
[2022-11-01 10:59:03,311][lightning][INFO] - reference : яркость освещения на веранде нужно увеличить на двадцать пять процентов
[2022-11-01 10:59:03,312][lightning][INFO] - prediction: якастасчини нумерадиможна умеечио аси пяаце
[2022-11-01 10:59:04,684][lightning][INFO] - reference : сбер по какой причине мне пришло отказ по кредиту
[2022-11-01 10:59:04,684][lightning][INFO] - prediction: сбер окакодрючинимиташловаткас покрютит
[2022-11-01 10:59:06,297][lightning][INFO] - reference : сбер что за регион оплаты
[2022-11-01 10:59:06,297][lightning][INFO] - prediction: сбер зепнаат
[2022-11-01 10:59:08,033][lightning][INFO] - reference : салют что такое острова кука
[2022-11-01 10:59:08,033][lightning][INFO] - prediction: салют фитакостралакува
[2022-11-01 10:59:09,671][lightning][INFO] - reference : джой фильм про шварценеггера терминатор
[2022-11-01 10:59:09,671][lightning][INFO] - prediction: джой флен пршоцнадертеринатар
[2022-11-01 10:59:11,326][lightning][INFO] - reference : джой могу поменять офис получения карты
[2022-11-01 10:59:11,326][lightning][INFO] - prediction: джой мадо боминятгоофис оучни карт
[2022-11-01 10:59:12,974][lightning][INFO] - reference : джой давно пора
[2022-11-01 10:59:12,974][lightning][INFO] - prediction: джой наоура
[2022-11-01 10:59:14,390][lightning][INFO] - reference : афина для чего нужна финансовая аналитика
[2022-11-01 10:59:14,390][lightning][INFO] - prediction: афина ежеловнафназранаите
[2022-11-01 10:59:15,689][lightning][INFO] - reference : джой пропали карты
[2022-11-01 10:59:15,689][lightning][INFO] - prediction: джой прабае арта
[2022-11-01 10:59:17,210][lightning][INFO] - reference : джой вруби мое музло
[2022-11-01 10:59:17,210][lightning][INFO] - prediction: джой рубималибуво
[2022-11-01 10:59:18,882][lightning][INFO] - reference : сбер когда начался сербский договор
[2022-11-01 10:59:18,882][lightning][INFO] - prediction: сберкарюданачшоста сессендо навар
[2022-11-01 10:59:20,397][lightning][INFO] - reference : салют здравствуйте есть ли деньги у меня на счете
[2022-11-01 10:59:20,397][lightning][INFO] - prediction: салют драстккеснидекоитношеть
[2022-11-01 10:59:21,837][lightning][INFO] - reference : салют как часто можно выходить на ули
[2022-11-01 10:59:21,837][lightning][INFO] - prediction: салют хаогча остможзан задитнауни
[2022-11-01 10:59:23,264][lightning][INFO] - reference : сбер что тебе известно
[2022-11-01 10:59:23,264][lightning][INFO] - prediction: сбер чтотибезесна
[2022-11-01 10:59:24,661][lightning][INFO] - reference : салют перекинь ка деньги а то баланс на сотовом телефоне кончился
[2022-11-01 10:59:24,661][lightning][INFO] - prediction: салют преки поденге атабаланхосапоефони коуса
[2022-11-01 10:59:26,077][lightning][INFO] - reference : афина оплата связи второй номер
[2022-11-01 10:59:26,077][lightning][INFO] - prediction: афина лакосвезивтародана
[2022-11-01 10:59:27,655][lightning][INFO] - reference : афина какими навыками знаниями и качествами должен обладать современный мужчина чтобы быть капитальным красавчиком
[2022-11-01 10:59:27,655][lightning][INFO] - prediction: афина каими навокымезнанини качтидтожволдасоррменелучимоштопертобитал раач
[2022-11-01 10:59:28,979][lightning][INFO] - reference : сбер что будет если меня поймают с наркотиками а я скажу что нашел их и хочу сдать
[2022-11-01 10:59:28,980][lightning][INFO] - prediction: сббречтобубетиссино омансрорпоткооескожижтушолоикочестарт
[2022-11-01 10:59:30,373][lightning][INFO] - reference : салют перевыпустите карту московского региона
[2022-11-01 10:59:30,373][lightning][INFO] - prediction: салюберенубости катомаскоскорвадар
[2022-11-01 10:59:31,665][lightning][INFO] - reference : афина как учился базаров александр
[2022-11-01 10:59:31,665][lightning][INFO] - prediction: афина какучиса пазаркалисантар
[2022-11-01 10:59:33,295][lightning][INFO] - reference : сбер баланс на карте сорок восемь двадцать пять последние четыре цифры
[2022-11-01 10:59:33,295][lightning][INFO] - prediction: асбер поласнакартисоркусидоцкипосидикелицека
[2022-11-01 10:59:34,631][lightning][INFO] - reference : афида последний перевод на пятьсот рублей можно узнать данные карты
[2022-11-01 10:59:34,631][lightning][INFO] - prediction: афина асини перевататицарубе можнознадяны карты
[2022-11-01 10:59:35,947][lightning][INFO] - reference : афина не хочу разговаривать в тишине фильм смотрю
[2022-11-01 10:59:35,947][lightning][INFO] - prediction: афина некочерознавороттешему имсудри
[2022-11-01 10:59:37,337][lightning][INFO] - reference : джой перевести тысячу рублей другу
[2022-11-01 10:59:37,337][lightning][INFO] - prediction: джой перевести тисербледерубо
[2022-11-01 10:59:38,759][lightning][INFO] - reference : салют будильник на пятнадцать пятнадцать в среду
[2022-11-01 10:59:38,759][lightning][INFO] - prediction: салют чбожинетмепекнаца тематасредо
[2022-11-01 10:59:40,071][lightning][INFO] - reference : кто продюсер андалузский пес
