[2022-11-01 11:20:21,434][lightning][INFO] - successful load initial weights
[2022-11-01 11:20:27,708][lightning][INFO] - reference : джой хватит
[2022-11-01 11:20:27,708][lightning][INFO] - prediction: т
[2022-11-01 11:20:27,778][lightning][INFO] - reference : джой надоел
[2022-11-01 11:20:27,778][lightning][INFO] - prediction: в е
[2022-11-01 11:20:32,074][lightning][INFO] - reference : афина организуй мне запись к моему парикмахеру на этой неделе
[2022-11-01 11:20:32,074][lightning][INFO] - prediction: звук о ееероео  од оо
[2022-11-01 11:20:33,901][lightning][INFO] - reference : джой скажи а у тебя есть девушка
[2022-11-01 11:20:33,902][lightning][INFO] - prediction: ааса
[2022-11-01 11:20:35,202][lightning][INFO] - reference : джой почему у некоторых людей нормальная улыбка а у некоторых очень сильно видны верхние десны
[2022-11-01 11:20:35,202][lightning][INFO] - prediction: саикаоиаачи анеикаааеа
[2022-11-01 11:20:36,832][lightning][INFO] - reference : сбер здравствуйте сегодня работает банк на гамзатова шестьдесят четыре
[2022-11-01 11:20:36,832][lightning][INFO] - prediction: с етатататааоетени
[2022-11-01 11:20:38,329][lightning][INFO] - reference : афина отключить таймер
[2022-11-01 11:20:38,329][lightning][INFO] - prediction: сфиат 
[2022-11-01 11:20:39,841][lightning][INFO] - reference : афина когда перестал существовать саманиды
[2022-11-01 11:20:39,841][lightning][INFO] - prediction: итотиитии
[2022-11-01 11:20:41,622][lightning][INFO] - reference : афина из за чего муха не падает со стены
[2022-11-01 11:20:41,622][lightning][INFO] - prediction: афинакаси ококооосисс
[2022-11-01 11:20:43,311][lightning][INFO] - reference : сбер здравствуйте как подключить услугу бонусы спасибо
[2022-11-01 11:20:43,311][lightning][INFO] - prediction: стаеаакетепеекаа
[2022-11-01 11:20:44,824][lightning][INFO] - reference : афина поставь будильник на восемь утра
[2022-11-01 11:20:44,824][lightning][INFO] - prediction: фачиасеевотие
[2022-11-01 11:20:46,379][lightning][INFO] - reference : сбер выведи мне адреса банкоматов сбербанка
[2022-11-01 11:20:46,379][lightning][INFO] - prediction: дер единивитато камоното ара
[2022-11-01 11:20:47,670][lightning][INFO] - reference : афина чем занимается роснанотех
[2022-11-01 11:20:47,670][lightning][INFO] - prediction: финиини сааснаф
[2022-11-01 11:20:49,052][lightning][INFO] - reference : джой какие болонки ты знаешь
[2022-11-01 11:20:49,052][lightning][INFO] - prediction: джйна качинаотдатач
[2022-11-01 11:20:50,520][lightning][INFO] - reference : джой включи корнилич
[2022-11-01 11:20:50,520][lightning][INFO] - prediction: й кличодо
[2022-11-01 11:20:52,098][lightning][INFO] - reference : салют сводный отчет по картам
[2022-11-01 11:20:52,098][lightning][INFO] - prediction: бюслоикачикакак
[2022-11-01 11:20:53,494][lightning][INFO] - reference : сбер ужасы стивена спилберга
[2022-11-01 11:20:53,495][lightning][INFO] - prediction: д асстисе
[2022-11-01 11:20:55,152][lightning][INFO] - reference : сбер сделай пополнение телефона на двести рублей
[2022-11-01 11:20:55,152][lightning][INFO] - prediction: сбе деой покоромиечо поматитое
[2022-11-01 11:20:56,899][lightning][INFO] - reference : афина а есть информация по погоде в городе мышкин
[2022-11-01 11:20:56,899][lightning][INFO] - prediction: афиа пафисинанааобокоубоатеночти
[2022-11-01 11:20:58,434][lightning][INFO] - reference : яркость освещения на веранде нужно увеличить на двадцать пять процентов
[2022-11-01 11:20:58,434][lightning][INFO] - prediction: дж поцаиененоневоденонконеетзатато
[2022-11-01 11:20:59,837][lightning][INFO] - reference : сбер по какой причине мне пришло отказ по кредиту
[2022-11-01 11:20:59,838][lightning][INFO] - prediction: сбер кокококоечининекечовотка кктет
[2022-11-01 11:21:01,448][lightning][INFO] - reference : сбер что за регион оплаты
[2022-11-01 11:21:01,448][lightning][INFO] - prediction: сбер чодрпнакат
[2022-11-01 11:21:03,116][lightning][INFO] - reference : салют что такое острова кука
[2022-11-01 11:21:03,117][lightning][INFO] - prediction: салют фта кждалокука
[2022-11-01 11:21:04,743][lightning][INFO] - reference : джой фильм про шварценеггера терминатор
[2022-11-01 11:21:04,744][lightning][INFO] - prediction: джой илин соснедетерннада
[2022-11-01 11:21:06,440][lightning][INFO] - reference : джой могу поменять офис получения карты
[2022-11-01 11:21:06,440][lightning][INFO] - prediction: джой мамубоминатотусолючне пате
[2022-11-01 11:21:08,165][lightning][INFO] - reference : джой давно пора
[2022-11-01 11:21:08,165][lightning][INFO] - prediction: джой навону
[2022-11-01 11:21:09,620][lightning][INFO] - reference : афина для чего нужна финансовая аналитика
[2022-11-01 11:21:09,620][lightning][INFO] - prediction: афина ичеловинатенас нанаите
[2022-11-01 11:21:10,985][lightning][INFO] - reference : джой пропали карты
