[2022-11-01 10:55:26,238][lightning][INFO] - successful load initial weights
[2022-11-01 10:55:32,711][lightning][INFO] - reference : джой хватит
[2022-11-01 10:55:32,711][lightning][INFO] - prediction: 
[2022-11-01 10:55:32,790][lightning][INFO] - reference : джой надоел
[2022-11-01 10:55:32,790][lightning][INFO] - prediction: 
[2022-11-01 10:55:37,134][lightning][INFO] - reference : афина организуй мне запись к моему парикмахеру на этой неделе
[2022-11-01 10:55:37,134][lightning][INFO] - prediction: рдое ая се аелгеиз
[2022-11-01 10:55:38,945][lightning][INFO] - reference : джой скажи а у тебя есть девушка
[2022-11-01 10:55:38,945][lightning][INFO] - prediction: 
[2022-11-01 10:55:40,238][lightning][INFO] - reference : джой почему у некоторых людей нормальная улыбка а у некоторых очень сильно видны верхние десны
[2022-11-01 10:55:40,238][lightning][INFO] - prediction: сканакакатитианкааканекаикаттади
[2022-11-01 10:55:41,793][lightning][INFO] - reference : сбер здравствуйте сегодня работает банк на гамзатова шестьдесят четыре
[2022-11-01 10:55:41,793][lightning][INFO] - prediction: котакеатетонотонотоноеетотое
[2022-11-01 10:55:43,274][lightning][INFO] - reference : афина отключить таймер
[2022-11-01 10:55:43,274][lightning][INFO] - prediction: сфи
