[2022-11-01 13:57:14,589][lightning][INFO] - successful load initial weights
[2022-11-01 13:57:16,414][lightning][INFO] - reference : джой хватит
[2022-11-01 13:57:16,415][lightning][INFO] - prediction:  
[2022-11-01 13:57:16,493][lightning][INFO] - reference : джой надоел
[2022-11-01 13:57:16,494][lightning][INFO] - prediction:  
[2022-11-01 13:57:16,702][lightning][INFO] - reference : салют приложение сверни
[2022-11-01 13:57:16,702][lightning][INFO] - prediction: 
[2022-11-01 13:57:16,801][lightning][INFO] - reference : сбер набери ковалева
[2022-11-01 13:57:16,802][lightning][INFO] - prediction:    
[2022-11-01 13:57:16,953][lightning][INFO] - reference : салют набери сергея
[2022-11-01 13:57:16,954][lightning][INFO] - prediction:   
[2022-11-01 13:57:17,052][lightning][INFO] - reference : джой продолжить
[2022-11-01 13:57:17,053][lightning][INFO] - prediction:  
[2022-11-01 13:57:17,238][lightning][INFO] - reference : афина вызов кире нуруллину
[2022-11-01 13:57:17,238][lightning][INFO] - prediction: 
[2022-11-01 13:57:17,321][lightning][INFO] - reference : сбер вызов валерону
[2022-11-01 13:57:17,321][lightning][INFO] - prediction: 
[2022-11-01 13:57:17,514][lightning][INFO] - reference : афина скрой приложение
[2022-11-01 13:57:17,514][lightning][INFO] - prediction: 
[2022-11-01 13:57:17,663][lightning][INFO] - reference : сбер случайный трек
[2022-11-01 13:57:17,663][lightning][INFO] - prediction:  
[2022-11-01 13:57:18,053][lightning][INFO] - reference : салют кто лучше играет месси или роналду
[2022-11-01 13:57:18,053][lightning][INFO] - prediction: в
[2022-11-01 13:57:18,205][lightning][INFO] - reference : эбби хэтчер
[2022-11-01 13:57:18,205][lightning][INFO] - prediction:  
[2022-11-01 13:57:18,443][lightning][INFO] - reference : зачем нужны фразеологизмы если они никому не понятны
[2022-11-01 13:57:18,444][lightning][INFO] - prediction:   
[2022-11-01 13:57:18,700][lightning][INFO] - reference : что такое перспектива
[2022-11-01 13:57:18,700][lightning][INFO] - prediction: 
[2022-11-01 13:57:18,784][lightning][INFO] - reference : салют поставь явь
[2022-11-01 13:57:18,784][lightning][INFO] - prediction: 
[2022-11-01 13:57:18,868][lightning][INFO] - reference : сбер перезвони шарипову
[2022-11-01 13:57:18,868][lightning][INFO] - prediction:  
[2022-11-01 13:57:19,062][lightning][INFO] - reference : афина предыдущая
[2022-11-01 13:57:19,062][lightning][INFO] - prediction:  
[2022-11-01 13:57:19,276][lightning][INFO] - reference : салют следующий трек
[2022-11-01 13:57:19,276][lightning][INFO] - prediction: 
[2022-11-01 13:57:19,362][lightning][INFO] - reference : джой набери склярову
[2022-11-01 13:57:19,362][lightning][INFO] - prediction: 
[2022-11-01 13:57:19,537][lightning][INFO] - reference : афина завершить навык
[2022-11-01 13:57:19,537][lightning][INFO] - prediction:  
[2022-11-01 13:57:19,786][lightning][INFO] - reference : салют дизлайк
[2022-11-01 13:57:19,786][lightning][INFO] - prediction: 
[2022-11-01 13:57:20,136][lightning][INFO] - reference : афина здравствуйте помогите подключить быстрый платеж
[2022-11-01 13:57:20,136][lightning][INFO] - prediction: е
[2022-11-01 13:57:20,445][lightning][INFO] - reference : джой веб сайт чемпионат испании по футболу
[2022-11-01 13:57:20,445][lightning][INFO] - prediction: 
[2022-11-01 13:57:20,869][lightning][INFO] - reference : джой почему в японии женщинам не дают готовить суши
[2022-11-01 13:57:20,870][lightning][INFO] - prediction: 
[2022-11-01 13:57:21,224][lightning][INFO] - reference : салют карта маршалловы острова
[2022-11-01 13:57:21,224][lightning][INFO] - prediction: й
[2022-11-01 13:57:21,495][lightning][INFO] - reference : салют какие неореализм в кино ты знаешь
[2022-11-01 13:57:21,495][lightning][INFO] - prediction:   
[2022-11-01 13:57:21,640][lightning][INFO] - reference : афина давай через пять минут спать
[2022-11-01 13:57:21,640][lightning][INFO] - prediction:  
[2022-11-01 13:57:21,957][lightning][INFO] - reference : афина какие виды эрис ты знаешь
[2022-11-01 13:57:21,958][lightning][INFO] - prediction:  
[2022-11-01 13:57:22,209][lightning][INFO] - reference : салют в каком городе находится памятник родина мать
[2022-11-01 13:57:22,209][lightning][INFO] - prediction:  
[2022-11-01 13:57:22,389][lightning][INFO] - reference : салют как называется валюта в пакистане
[2022-11-01 13:57:22,389][lightning][INFO] - prediction:  
[2022-11-01 13:57:22,853][lightning][INFO] - reference : сбер подскажите подготовьте мне выписку по счету
[2022-11-01 13:57:22,854][lightning][INFO] - prediction: 
[2022-11-01 13:57:23,241][lightning][INFO] - reference : салют я вернулся
[2022-11-01 13:57:23,241][lightning][INFO] - prediction: 
[2022-11-01 13:57:23,566][lightning][INFO] - reference : афина какая площадь у города вязьма
[2022-11-01 13:57:23,567][lightning][INFO] - prediction: 
[2022-11-01 13:57:23,899][lightning][INFO] - reference : джой включи пожалуйста таймер на один час
[2022-11-01 13:57:23,900][lightning][INFO] - prediction: 
[2022-11-01 13:57:24,216][lightning][INFO] - reference : сбер прошу звук громче сделай
[2022-11-01 13:57:24,217][lightning][INFO] - prediction: 
[2022-11-01 13:57:24,317][lightning][INFO] - reference : салют перезвони полине
[2022-11-01 13:57:24,318][lightning][INFO] - prediction:  
[2022-11-01 13:57:24,457][lightning][INFO] - reference : салют надоел
[2022-11-01 13:57:24,458][lightning][INFO] - prediction: 
[2022-11-01 13:57:24,591][lightning][INFO] - reference : джой набери галину альбертовну елисееву
[2022-11-01 13:57:24,591][lightning][INFO] - prediction: 
[2022-11-01 13:57:24,747][lightning][INFO] - reference : джой надоел
[2022-11-01 13:57:24,748][lightning][INFO] - prediction:  
[2022-11-01 13:57:24,915][lightning][INFO] - reference : афина повтор
[2022-11-01 13:57:24,915][lightning][INFO] - prediction: 
[2022-11-01 13:57:25,001][lightning][INFO] - reference : сбер набери инну дугину
[2022-11-01 13:57:25,001][lightning][INFO] - prediction: 
[2022-11-01 13:57:25,179][lightning][INFO] - reference : афина набери блинова
[2022-11-01 13:57:25,179][lightning][INFO] - prediction: 
[2022-11-01 13:57:25,386][lightning][INFO] - reference : джой звонок виктору
[2022-11-01 13:57:25,386][lightning][INFO] - prediction:  
[2022-11-01 13:57:25,505][lightning][INFO] - reference : сбер покажи текст песни
[2022-11-01 13:57:25,505][lightning][INFO] - prediction:  
[2022-11-01 13:57:25,692][lightning][INFO] - reference : салют предыдущая
[2022-11-01 13:57:25,692][lightning][INFO] - prediction: 
[2022-11-01 13:57:25,806][lightning][INFO] - reference : салют выйти
[2022-11-01 13:57:25,806][lightning][INFO] - prediction: 
[2022-11-01 13:57:25,977][lightning][INFO] - reference : салют набери надежду васильевну крайнову
[2022-11-01 13:57:25,977][lightning][INFO] - prediction: 
[2022-11-01 13:57:26,089][lightning][INFO] - reference : сбер назад
[2022-11-01 13:57:26,089][lightning][INFO] - prediction: 
[2022-11-01 13:57:26,297][lightning][INFO] - reference : афина прекрати
[2022-11-01 13:57:26,297][lightning][INFO] - prediction: 
[2022-11-01 13:57:26,527][lightning][INFO] - reference : сбер случайный трек
[2022-11-01 13:57:26,528][lightning][INFO] - prediction: 
[2022-11-01 13:57:26,629][lightning][INFO] - reference : салют завершить навык
[2022-11-01 13:57:26,630][lightning][INFO] - prediction: 
[2022-11-01 13:57:26,794][lightning][INFO] - reference : джой завершить навык
[2022-11-01 13:57:26,794][lightning][INFO] - prediction: 
[2022-11-01 13:57:26,972][lightning][INFO] - reference : салют перезвони владимиру николаевичу аксенову
[2022-11-01 13:57:26,972][lightning][INFO] - prediction: т 
[2022-11-01 13:57:27,065][lightning][INFO] - reference : салют перезвони ираде евгеньевне
[2022-11-01 13:57:27,065][lightning][INFO] - prediction: 
[2022-11-01 13:57:27,426][lightning][INFO] - reference : джой набери мусатову
[2022-11-01 13:57:27,426][lightning][INFO] - prediction: 
[2022-11-01 13:57:27,745][lightning][INFO] - reference : джой будет ли идти снег в первой половине дня
[2022-11-01 13:57:27,746][lightning][INFO] - prediction:   
[2022-11-01 13:57:28,240][lightning][INFO] - reference : афина отключи звук на видео
[2022-11-01 13:57:28,240][lightning][INFO] - prediction: в
[2022-11-01 13:57:28,416][lightning][INFO] - reference : афина во что любишь поиграть
[2022-11-01 13:57:28,417][lightning][INFO] - prediction: р
[2022-11-01 13:57:28,701][lightning][INFO] - reference : афина тридцать третья серия серкан и сонгуль
[2022-11-01 13:57:28,701][lightning][INFO] - prediction:  
[2022-11-01 13:57:28,912][lightning][INFO] - reference : афина запиши пожалуйста коррекция бровей салон ария на субботу
[2022-11-01 13:57:28,913][lightning][INFO] - prediction:   
[2022-11-01 13:57:29,218][lightning][INFO] - reference : джой насколько достоверны рассказы что животные годами испытывают тоску по умершим хозяевам
[2022-11-01 13:57:29,218][lightning][INFO] - prediction:  
[2022-11-01 13:57:29,315][lightning][INFO] - reference : джой сири найди мне фильмы с актером джонни деппом
[2022-11-01 13:57:29,316][lightning][INFO] - prediction:   
[2022-11-01 13:57:29,442][lightning][INFO] - reference : сбер выйди из приложения
[2022-11-01 13:57:29,443][lightning][INFO] - prediction: 
[2022-11-01 13:57:29,604][lightning][INFO] - reference : афина перезвони вере валерьевне маховой
[2022-11-01 13:57:29,605][lightning][INFO] - prediction: 
[2022-11-01 13:57:29,740][lightning][INFO] - reference : сбер звонок екатерине свечниковой
[2022-11-01 13:57:29,740][lightning][INFO] - prediction:  
[2022-11-01 13:57:29,892][lightning][INFO] - reference : афина набери янну викторовну
[2022-11-01 13:57:29,893][lightning][INFO] - prediction: 
[2022-11-01 13:57:30,011][lightning][INFO] - reference : джой выйди из приложения
[2022-11-01 13:57:30,011][lightning][INFO] - prediction: 
[2022-11-01 13:57:30,285][lightning][INFO] - reference : афина мне не нравится
[2022-11-01 13:57:30,285][lightning][INFO] - prediction: 
[2022-11-01 13:57:30,409][lightning][INFO] - reference : сбер как найти другие мои карты в мобильном банке
[2022-11-01 13:57:30,409][lightning][INFO] - prediction: 
[2022-11-01 13:57:30,617][lightning][INFO] - reference : сбер почему люди болеют
[2022-11-01 13:57:30,617][lightning][INFO] - prediction: 
[2022-11-01 13:57:30,736][lightning][INFO] - reference : что такое допинг
[2022-11-01 13:57:30,737][lightning][INFO] - prediction:  
[2022-11-01 13:57:30,934][lightning][INFO] - reference : живут ли в россии фламинго
[2022-11-01 13:57:30,934][lightning][INFO] - prediction:  в ш 
[2022-11-01 13:57:31,098][lightning][INFO] - reference : джой что такое бизнес
[2022-11-01 13:57:31,098][lightning][INFO] - prediction: 
[2022-11-01 13:57:31,261][lightning][INFO] - reference : сбер что такое бессмертие
[2022-11-01 13:57:31,261][lightning][INFO] - prediction: 
[2022-11-01 13:57:31,453][lightning][INFO] - reference : афина зачем нужна лимфа
[2022-11-01 13:57:31,453][lightning][INFO] - prediction: 
[2022-11-01 13:57:31,686][lightning][INFO] - reference : афина включи паровозики из чаггингтон
[2022-11-01 13:57:31,686][lightning][INFO] - prediction:  мм
[2022-11-01 13:57:31,795][lightning][INFO] - reference : сбер что такое борная кислота
[2022-11-01 13:57:31,796][lightning][INFO] - prediction:  
[2022-11-01 13:57:32,087][lightning][INFO] - reference : сбер что такое бермудский треугольник
[2022-11-01 13:57:32,088][lightning][INFO] - prediction:   
[2022-11-01 13:57:32,221][lightning][INFO] - reference : у каких верблюдов три горба
[2022-11-01 13:57:32,221][lightning][INFO] - prediction:  
[2022-11-01 13:57:32,425][lightning][INFO] - reference : почему самолеты летят и не падают
[2022-11-01 13:57:32,425][lightning][INFO] - prediction:  
[2022-11-01 13:57:32,632][lightning][INFO] - reference : джой откуда берется яд в борщевике сосновского
[2022-11-01 13:57:32,633][lightning][INFO] - prediction:  м мм 
[2022-11-01 13:57:32,938][lightning][INFO] - reference : афина что такое чиркаши
[2022-11-01 13:57:32,938][lightning][INFO] - prediction: т
[2022-11-01 13:57:33,065][lightning][INFO] - reference : салют олли веселый грузовичок
[2022-11-01 13:57:33,065][lightning][INFO] - prediction:  
[2022-11-01 13:57:33,321][lightning][INFO] - reference : джой включи ледибаг
[2022-11-01 13:57:33,321][lightning][INFO] - prediction: 
[2022-11-01 13:57:33,419][lightning][INFO] - reference : сбер набери толю ширяева
[2022-11-01 13:57:33,419][lightning][INFO] - prediction:   
[2022-11-01 13:57:33,643][lightning][INFO] - reference : джой продолжить
[2022-11-01 13:57:33,643][lightning][INFO] - prediction:  
[2022-11-01 13:57:33,740][lightning][INFO] - reference : афина звонок валентине
[2022-11-01 13:57:33,740][lightning][INFO] - prediction:   
[2022-11-01 13:57:33,907][lightning][INFO] - reference : джой позвони тихомирову
[2022-11-01 13:57:33,907][lightning][INFO] - prediction: 
[2022-11-01 13:57:34,059][lightning][INFO] - reference : сбер выйди из приложения
[2022-11-01 13:57:34,059][lightning][INFO] - prediction: й 
[2022-11-01 13:57:34,187][lightning][INFO] - reference : салют вперед
[2022-11-01 13:57:34,188][lightning][INFO] - prediction: 
[2022-11-01 13:57:34,303][lightning][INFO] - reference : афина позвони авдеевой
[2022-11-01 13:57:34,304][lightning][INFO] - prediction: 
[2022-11-01 13:57:34,490][lightning][INFO] - reference : салют перезвони андрею
[2022-11-01 13:57:34,490][lightning][INFO] - prediction: 
[2022-11-01 13:57:34,606][lightning][INFO] - reference : салют стоп
[2022-11-01 13:57:34,607][lightning][INFO] - prediction: 
[2022-11-01 13:57:34,818][lightning][INFO] - reference : салют повтори
